key,en,es,fr,ar
menu.load_balancing.tooltip,Load Balancing: Visualize and rebalance shipment distribution across cities and nodes. Reassign shipments to optimize workload and ensure equitable distribution.,Balanceo de Carga: Visualiza y rebalancea la distribución de envíos entre ciudades y nodos. Reasigna envíos para optimizar la carga de trabajo y asegurar distribución equitativa.,Équilibrage de Charge: Visualisez et rééquilibrez la distribution des expéditions entre les villes et les nœuds. Réaffectez les expéditions pour optimiser la charge de travail et assurer une distribution équitable.,موازنة الحمل: تصور وإعادة توازن توزيع الشحنات عبر المدن والعقد. إعادة تعيين الشحنات لتحسين عبء العمل وضمان التوزيع العادل.
menu.allocation_plans,Allocation Plans,Planes de Asignación,Plans d'Allocation,خطط التخصيص
menu.allocation_plans.tooltip,Allocation Plans: View and manage all shipment assignments. Track status (pending sent received) assign panelists mark shipments as sent and monitor availability issues.,Planes de Asignación: Visualiza y gestiona todas las asignaciones de envíos. Rastrea estado (pendiente enviado recibido) asigna panelistas marca envíos como enviados y monitorea problemas de disponibilidad.,Plans d'Allocation: Consultez et gérez toutes les affectations d'expédition. Suivez le statut (en attente envoyé reçu) affectez des panélistes marquez les expéditions comme envoyées et surveillez les problèmes de disponibilité.,خطط التخصيص: عرض وإدارة جميع تعيينات الشحن. تتبع الحالة (قيد الانتظار مرسل مستلم) تعيين أعضاء اللجان ووضع علامة على الشحنات كمرسلة ومراقبة مشكلات التوفر.
menu.materials_management,Materials Management,Gestión de Materiales,Gestion des Matériaux,إدارة المواد
menu.material_requirements,Material Requirements,Requisitos de Materiales,Besoins en Matériaux,متطلبات المواد
menu.material_requirements.tooltip,Material Requirements: Calculate material needs based on allocation plans. Generate purchase orders and proposed shipments to panelists. Track requirement status and fulfillment.,Requisitos de Materiales: Calcula necesidades de materiales basadas en planes de asignación. Genera órdenes de compra y envíos propuestos a panelistas. Rastrea estado y cumplimiento de requisitos.,Besoins en Matériaux: Calculez les besoins en matériaux en fonction des plans d'allocation. Générez des bons de commande et des expéditions proposées aux panélistes. Suivez l'état et l'exécution des besoins.,متطلبات المواد: حساب احتياجات المواد بناءً على خطط التخصيص. إنشاء أوامر الشراء والشحنات المقترحة لأعضاء اللجان. تتبع حالة المتطلبات والوفاء بها.
menu.stock_management,Stock Management,Gestión de Stock,Gestion des Stocks,إدارة المخزون
menu.stock_management.tooltip,Stock Management: Monitor inventory levels at regulator and panelist locations. Manage stock alerts track material movements and process shipments between locations.,Gestión de Stock: Monitorea niveles de inventario en ubicaciones de regulador y panelistas. Gestiona alertas de stock rastrea movimientos de materiales y procesa envíos entre ubicaciones.,Gestion des Stocks: Surveillez les niveaux d'inventaire aux emplacements du régulateur et des panélistes. Gérez les alertes de stock suivez les mouvements de matériaux et traitez les expéditions entre les emplacements.,إدارة المخزون: مراقبة مستويات المخزون في مواقع الجهة التنظيمية وأعضاء اللجان. إدارة تنبيهات المخزون وتتبع حركات المواد ومعالجة الشحنات بين المواقع.
menu.material_catalog,Material DB,Base de Datos de Materiales,Base de Données des Matériaux,قاعدة بيانات المواد
menu.material_catalog.tooltip,Material Catalog: Define and manage the master catalog of materials used in products. Set minimum stock levels units of measure and material specifications.,Catálogo de Materiales: Define y gestiona el catálogo maestro de materiales usados en productos. Establece niveles mínimos de stock unidades de medida y especificaciones de materiales.,Catalogue des Matériaux: Définissez et gérez le catalogue principal des matériaux utilisés dans les produits. Définissez les niveaux de stock minimaux les unités de mesure et les spécifications des matériaux.,كتالوج المواد: تحديد وإدارة الكتالوج الرئيسي للمواد المستخدمة في المنتجات. تعيين مستويات المخزون الدنيا ووحدات القياس ومواصفات المواد.
menu.reporting,REPORTING,REPORTES,RAPPORTS,التقارير
menu.reporting_e2e,E2E,E2E,E2E,من البداية للنهاية
menu.reporting_e2e.tooltip,End-to-End Reporting: Comprehensive analytics and performance metrics for your delivery network. Access dashboards performance reports compliance tracking and territory equity analysis.,Reportes de Extremo a Extremo: Análisis completo y métricas de rendimiento para tu red de entregas. Accede a paneles reportes de rendimiento seguimiento de cumplimiento y análisis de equidad territorial.,Rapports de Bout en Bout: Analyses complètes et métriques de performance pour votre réseau de livraison. Accédez aux tableaux de bord rapports de performance suivi de conformité et analyse d'équité territoriale.,تقارير شاملة: تحليلات شاملة ومقاييس أداء لشبكة التسليم الخاصة بك. الوصول إلى لوحات المعلومات وتقارير الأداء وتتبع الامتثال وتحليل العدالة الإقليمية.
menu.reporting_dashboard,Dashboard,Panel de Control,Tableau de Bord,لوحة القيادة
menu.reporting_dashboard.tooltip,Reporting Dashboard: High-level overview of key performance indicators trends and summary statistics across all reporting modules.,Panel de Reportes: Visión general de alto nivel de indicadores clave de rendimiento tendencias y estadísticas resumidas de todos los módulos de reportes.,Tableau de Bord des Rapports: Aperçu de haut niveau des indicateurs de performance clés des tendances et des statistiques récapitulatives de tous les modules de rapports.,لوحة معلومات التقارير: نظرة عامة عالية المستوى لمؤشرات الأداء الرئيسية والاتجاهات والإحصائيات الموجزة عبر جميع وحدات التقارير.
menu.reporting_jk,J+K Performance,Rendimiento J+K,Performance J+K,أداء J+K
menu.reporting_jk.tooltip,J+K Performance: Analyze delivery performance against standards. Track J (actual delivery time) vs K (standard time) metrics identify delays and monitor compliance rates by route and carrier.,Rendimiento J+K: Analiza el rendimiento de entregas contra estándares. Rastrea métricas J (tiempo real de entrega) vs K (tiempo estándar) identifica retrasos y monitorea tasas de cumplimiento por ruta y transportista.,Performance J+K: Analysez les performances de livraison par rapport aux normes. Suivez les métriques J (temps de livraison réel) vs K (temps standard) identifiez les retards et surveillez les taux de conformité par itinéraire et transporteur.,أداء J+K: تحليل أداء التسليم مقابل المعايير. تتبع مقاييس J (وقت التسليم الفعلي) مقابل K (الوقت القياسي) وتحديد التأخيرات ومراقبة معدلات الامتثال حسب المسار وشركة النقل.
menu.reporting_compliance,Compliance,Cumplimiento,Conformité,الامتثال
menu.reporting_compliance.tooltip,Compliance Report: Monitor adherence to delivery standards. View compliance rates identify non-compliant routes and track performance trends over time with threshold-based alerts.,Reporte de Cumplimiento: Monitorea adherencia a estándares de entrega. Visualiza tasas de cumplimiento identifica rutas no conformes y rastrea tendencias de rendimiento a lo largo del tiempo con alertas basadas en umbrales.,Rapport de Conformité: Surveillez le respect des normes de livraison. Consultez les taux de conformité identifiez les itinéraires non conformes et suivez les tendances de performance au fil du temps avec des alertes basées sur des seuils.,تقرير الامتثال: مراقبة الالتزام بمعايير التسليم. عرض معدلات الامتثال وتحديد المسارات غير الممتثلة وتتبع اتجاهات الأداء بمرور الوقت مع التنبيهات المستندة إلى العتبة.
menu.reporting_equity,Territory Equity,Equidad Territorial,Équité Territoriale,العدالة الإقليمية
menu.reporting_equity.tooltip,Territory Equity: Analyze distribution fairness across regions and cities. Compare shipment volumes delivery performance and resource allocation to ensure equitable service.,Equidad Territorial: Analiza la equidad de distribución entre regiones y ciudades. Compara volúmenes de envíos rendimiento de entregas y asignación de recursos para asegurar servicio equitativo.,Équité Territoriale: Analysez l'équité de distribution entre les régions et les villes. Comparez les volumes d'expédition les performances de livraison et l'allocation des ressources pour assurer un service équitable.,العدالة الإقليمية: تحليل عدالة التوزيع عبر المناطق والمدن. مقارنة أحجام الشحن وأداء التسليم وتخصيص الموارد لضمان خدمة عادلة.
menu.reporting_onedb,ONE DB,Base de Datos ONE,Base de Données ONE,قاعدة بيانات ONE
menu.reporting_onedb.tooltip,ONE Database: Complete record of all received shipments. View detailed shipment history delivery times routes and panelist information for audit and analysis purposes.,Base de Datos ONE: Registro completo de todos los envíos recibidos. Visualiza historial detallado de envíos tiempos de entrega rutas e información de panelistas para auditoría y análisis.,Base de Données ONE: Enregistrement complet de toutes les expéditions reçues. Consultez l'historique détaillé des expéditions les délais de livraison les itinéraires et les informations sur les panélistes à des fins d'audit et d'analyse.,قاعدة بيانات ONE: سجل كامل لجميع الشحنات المستلمة. عرض تاريخ الشحن التفصيلي وأوقات التسليم والمسارات ومعلومات أعضاء اللجان لأغراض التدقيق والتحليل.
menu.administration,Administration,Administración,Administration,الإدارة
menu.users,Users,Usuarios,Utilisateurs,المستخدمون
menu.users.tooltip,User Management: Create and manage user accounts for your organization. Assign roles (admin viewer) and control access permissions to system features.,Gestión de Usuarios: Crea y gestiona cuentas de usuario para tu organización. Asigna roles (admin visor) y controla permisos de acceso a funciones del sistema.,Gestion des Utilisateurs: Créez et gérez les comptes d'utilisateurs pour votre organisation. Attribuez des rôles (admin visualiseur) et contrôlez les autorisations d'accès aux fonctionnalités du système.,إدارة المستخدمين: إنشاء وإدارة حسابات المستخدمين لمؤسستك. تعيين الأدوار (مسؤول عارض) والتحكم في أذونات الوصول إلى ميزات النظام.
menu.onedb_generator,ONEDB Generator,Generador ONEDB,Générateur ONEDB,مولد ONEDB
menu.onedb_generator.tooltip,ONEDB Generator (Demo): Simulate received shipments for testing and demonstration purposes. Automatically transfers allocation plans to ONE DB.,Generador ONEDB (Demo): Simula envíos recibidos para pruebas y demostración. Transfiere automáticamente planes de asignación a la Base de Datos ONE.,Générateur ONEDB (Démo): Simulez les expéditions reçues à des fins de test et de démonstration. Transfère automatiquement les plans d'allocation vers la base de données ONE.,مولد ONEDB (تجريبي): محاكاة الشحنات المستلمة لأغراض الاختبار والعرض التوضيحي. ينقل خطط التخصيص تلقائيًا إلى قاعدة بيانات ONE.
menu.demo_reset,Demo Reset,Reinicio de Demo,Réinitialisation de Démo,إعادة تعيين التجريبي
menu.demo_reset.tooltip,Demo Reset: Reset demo account data to initial state. Clear all transactions while preserving base configuration (topology carriers panelists).,Reinicio de Demo: Reinicia datos de cuenta demo al estado inicial. Limpia todas las transacciones mientras preserva la configuración base (topología transportistas panelistas).,Réinitialisation de Démo: Réinitialisez les données du compte de démonstration à l'état initial. Effacez toutes les transactions tout en préservant la configuration de base (topologie transporteurs panélistes).,إعادة تعيين التجريبي: إعادة تعيين بيانات الحساب التجريبي إلى الحالة الأولية. مسح جميع المعاملات مع الحفاظ على التكوين الأساسي (الطوبولوجيا وشركات النقل وأعضاء اللجان).
menu.superadmin,Superadmin,Superadmin,Superadmin,المسؤول الأعلى
menu.accounts,Accounts,Cuentas,Comptes,الحسابات
menu.accounts.tooltip,Account Management (Superadmin): Create and manage customer accounts. Configure account settings status and access. Only accessible to superadmin users.,Gestión de Cuentas (Superadmin): Crea y gestiona cuentas de clientes. Configura ajustes de cuenta estado y acceso. Solo accesible para usuarios superadmin.,Gestion des Comptes (Superadmin): Créez et gérez les comptes clients. Configurez les paramètres du compte le statut et l'accès. Accessible uniquement aux utilisateurs superadmin.,إدارة الحسابات (المسؤول الأعلى): إنشاء وإدارة حسابات العملاء. تكوين إعدادات الحساب والحالة والوصول. يمكن الوصول إليها فقط من قبل مستخدمي المسؤول الأعلى.
menu.all_users,All Users,Todos los Usuarios,Tous les Utilisateurs,جميع المستخدمين
menu.all_users.tooltip,All Users (Superadmin): View and manage users across all accounts. Assign accounts to users modify roles and control system-wide access. Only accessible to superadmin users.,Todos los Usuarios (Superadmin): Visualiza y gestiona usuarios de todas las cuentas. Asigna cuentas a usuarios modifica roles y controla acceso a nivel de sistema. Solo accesible para usuarios superadmin.,Tous les Utilisateurs (Superadmin): Consultez et gérez les utilisateurs de tous les comptes. Attribuez des comptes aux utilisateurs modifiez les rôles et contrôlez l'accès à l'échelle du système. Accessible uniquement aux utilisateurs superadmin.,جميع المستخدمين (المسؤول الأعلى): عرض وإدارة المستخدمين عبر جميع الحسابات. تعيين الحسابات للمستخدمين وتعديل الأدوار والتحكم في الوصول على مستوى النظام. يمكن الوصول إليها فقط من قبل مستخدمي المسؤول الأعلى.
menu.translations,Translations,Traducciones,Traductions,الترجمات
menu.translations.tooltip,Translation Manager (Superadmin): Download CSV template upload translated files and manage application translations for multiple languages. Only accessible to superadmin users.,Gestor de Traducciones (Superadmin): Descarga plantilla CSV sube archivos traducidos y gestiona traducciones de la aplicación para múltiples idiomas. Solo accesible para usuarios superadmin.,Gestionnaire de Traductions (Superadmin): Téléchargez le modèle CSV téléchargez les fichiers traduits et gérez les traductions de l'application pour plusieurs langues. Accessible uniquement aux utilisateurs superadmin.,مدير الترجمة (المسؤول الأعلى): تنزيل قالب CSV وتحميل الملفات المترجمة وإدارة ترجمات التطبيق لعدة لغات. يمكن الوصول إليها فقط من قبل مستخدمي المسؤول الأعلى.
