key,en,es,fr,ar
allocation_plans.city_distribution_matrix_a_b_c,City Distribution Matrix (A-B-C),Matriz de distribución por ciudad (A-B-C),Matrice de distribution par ville (A-B-C),مصفوفة توزيع المدينة (أ-ب-ج)
allocation_plans.clear_selection,Clear selection,Borrar selección,Effacer la sélection,مسح التحديد
allocation_plans.completed,Completed,Completado,Terminé,مكتمل
allocation_plans.delete_selected,Delete Selected,Eliminar seleccionados,Supprimer la sélection,حذف المحدد
allocation_plans.destination,Destination:,Destino:,Destination :,الوجهة:
allocation_plans.destination_city,Destination City,Ciudad de destino,Ville de destination,مدينة الوجهة
allocation_plans.destination_node,Destination Node,Nodo de destino,Nœud de destination,عقدة الوجهة
allocation_plans.download_csv_template,Download CSV Template,Descargar plantilla CSV,Télécharger le modèle CSV,تنزيل قالب CSV
allocation_plans.edit_record,Edit record,Editar registro,Modifier l'enregistrement,تعديل السجل
allocation_plans.end_date,End Date,Fecha de finalización,Date de fin,تاريخ الانتهاء
allocation_plans.enter_tag_id,Enter tag ID,Ingresar ID de etiqueta,Saisir l'ID du tag,أدخل معرف الوسم
allocation_plans.error,Error:,Error:,Erreur :,خطأ:
allocation_plans.event_id,Event ID,ID del evento,ID de l'événement,معرف الحدث
allocation_plans.example,Example:,Ejemplo:,Exemple :,مثال:
allocation_plans.filters,Filters,Filtros,Filtres,الفلاتر
allocation_plans.first_day_of_the_allocation_period_samples_will_be,First day of the allocation period. Samples will be scheduled from this date.,Primer día del período de asignación. Las muestras se programarán a partir de esta fecha.,Premier jour de la période d'allocation. Les échantillons seront programmés à partir de cette date.,أول يوم في فترة التخصيص. سيتم جدولة العينات من هذا التاريخ.
allocation_plans.import_csv,Import CSV,Importar CSV,Importer CSV,استيراد CSV
allocation_plans.invalid,Invalid,Inválido,Invalide,غير صالح
allocation_plans.last_day_of_the_allocation_period_samples_will_be_,Last day of the allocation period. Samples will be scheduled until this date.,Último día del período de asignación. Las muestras se programarán hasta esta fecha.,Dernier jour de la période d'allocation. Les échantillons seront programmés jusqu'à cette date.,آخر يوم في فترة التخصيص. سيتم جدولة العينات حتى هذا التاريخ.
allocation_plans.no_panelist,No Panelist,Sin panelista,Aucun panéliste,لا يوجد مشارك
allocation_plans.no_panelist_assigned_to_destination_node,No panelist assigned to destination node,No hay panelista asignado al nodo de destino,Aucun panéliste assigné au nœud de destination,لا يوجد مشارك معين لعقدة الوجهة
allocation_plans.no_panelist_assigned_to_origin_node,No panelist assigned to origin node,No hay panelista asignado al nodo de origen,Aucun panéliste assigné au nœud d'origine,لا يوجد مشارك معين لعقدة الأصل
allocation_plans.notified,Notified,Notificado,Notifié,تم الإخطار
allocation_plans.optional,Optional,Opcional,Optionnel,اختياري
allocation_plans.optional_distribute_samples_unevenly_across_months,Optional: Distribute samples unevenly across months to reflect seasonal patterns.,Opcional: Distribuir las muestras de manera desigual a lo largo de los meses para reflejar patrones estacionales.,Optionnel : Distribuer les échantillons de manière inégale selon les mois pour refléter les variations saisonnières.,اختياري: توزيع العينات بشكل غير متساوٍ عبر الأشهر لتعكس الأنماط الموسمية.
allocation_plans.origin,Origin:,Origen:,Origine :,الأصل:
allocation_plans.origin_city,Origin City,Ciudad de origen,Ville d'origine,مدينة الأصل
allocation_plans.origin_node,Origin Node,Nodo de origen,Nœud d'origine,عقدة الأصل
allocation_plans.pending,Pending,Pendiente,En attente,قيد الانتظار
allocation_plans.plan,Plan,Plan,Plan,خطة
allocation_plans.plan_name,Plan Name *,Nombre del plan *,Nom du plan *,اسم الخطة *
allocation_plans.product,Product,Producto,Produit,المنتج
allocation_plans.promise,Promise,Promesa,Promesse,الوعد
allocation_plans.quick_period_selection,Quick Period Selection,Selección rápida de período,Sélection rapide de période,اختيار فترة سريع
allocation_plans.receive,Receive,Recibir,Recevoir,استلام
allocation_plans.received,Received,Recibido,Reçu,تم الاستلام
allocation_plans.received_date_time,Received Date & Time,Fecha y hora de recepción,Date et heure de réception,تاريخ ووقت الاستلام
allocation_plans.register_reception,Register reception,Registrar recepción,Enregistrer la réception,تسجيل الاستلام
allocation_plans.register_shipment,Register shipment,Registrar envío,Enregistrer l'expédition,تسجيل الشحن
allocation_plans.registered_by,Registered By,Registrado por,Enregistré par,مسجل بواسطة
allocation_plans.reprocess_errors,Reprocess Errors,Reprocesar errores,Reprendre les erreurs,إعادة معالجة الأخطاء
allocation_plans.reset_filters,Reset filters,Restablecer filtros,Réinitialiser les filtres,إعادة تعيين الفلاتر
allocation_plans.scheduled_date,Scheduled Date,Fecha programada,Date prévue,التاريخ المجدول
allocation_plans.search_by_event_id,Search by Event ID...,Buscar por ID de evento...,Rechercher par ID d'événement...,البحث بواسطة معرف الحدث...
allocation_plans.search_by_tag_id,Search by Tag ID...,Buscar por ID de etiqueta...,Rechercher par ID de tag...,البحث بواسطة معرف الوسم...
allocation_plans.seasonal_distribution,Seasonal Distribution,Distribución estacional,Distribution saisonnière,التوزيع الموسمي
allocation_plans.select_carrier,Select carrier,Seleccionar transportista,Sélectionner le transporteur,اختر الناقل
allocation_plans.select_city,Select City,Seleccionar ciudad,Sélectionner la ville,اختر المدينة
allocation_plans.select_node,Select node...,Seleccionar nodo...,Sélectionner le nœud...,اختر العقدة...
allocation_plans.select_plan,Select Plan,Seleccionar plan,Sélectionner le plan,اختر الخطة
allocation_plans.select_product,Select product,Seleccionar producto,Sélectionner le produit,اختر المنتج
allocation_plans.send,Send,Enviar,Envoyer,إرسال
allocation_plans.sent,Sent,Enviado,Envoyé,تم الإرسال
allocation_plans.sent_at,Sent at:,Enviado a las:,Envoyé à :,تم الإرسال في:
allocation_plans.sent_date_time,Sent Date & Time,Fecha y hora de envío,Date et heure d'envoi,تاريخ ووقت الإرسال
allocation_plans.start_date,Start Date,Fecha de inicio,Date de début,تاريخ البدء
allocation_plans.tag_id,Tag ID,ID de etiqueta,ID de l'étiquette,معرّف العلامة
allocation_plans.total_samples,Total Samples *,Total de muestras *,Échantillons totaux *,إجمالي العينات *
allocation_plans.transfer_error,Transfer Error,Error de transferencia,Erreur de transfert,خطأ في النقل
allocation_plans.validation_errors,Validation Errors:,Errores de validación:,Erreurs de validation :,أخطاء التحقق:
allocation_plans.year,Year,Año,Année,السنة
allocationplangenerator.allocation_plan_generator,Allocation Plan Generator,Generador de Planes de Asignación,Générateur de plan d'allocation,مولد خطة التخصيص
allocationplangenerator.applied_date,Applied Date,Fecha aplicada,Date d'application,تاريخ التطبيق
allocationplangenerator.applied_plans_historical,Applied Plans (Historical),Planes aplicados (Histórico),Plans appliqués (Historique),الخطط المطبقة (تاريخية)
allocationplangenerator.automatic_generator,Automatic Generator,Generador automático,Générateur automatique,المولد التلقائي
allocationplangenerator.carrier,Carrier,Transportista,Transporteur,الناقل
allocationplangenerator.download_csv,Download CSV,Descargar CSV,Télécharger CSV,تحميل CSV
allocationplangenerator.generate_sample_allocation_plans_automatically_bas,Generate sample allocation plans automatically based on distribution patterns,Generar planes de asignación de muestras automáticamente según patrones de distribución,Générer automatiquement des plans d'allocation d'échantillons basés sur les schémas de distribution,توليد خطط تخصيص العينات تلقائيًا بناءً على أنماط التوزيع
allocationplangenerator.generated_plans,Generated Plans,Planes generados,Plans générés,الخطط المولدة
allocationplangenerator.generator,Generator,Generador,Générateur,المولد
allocationplangenerator.how_it_works,How it works:,Cómo funciona:,Comment ça fonctionne :,كيف يعمل:
allocationplangenerator.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
allocationplangenerator.manual_import,Manual Import,Importación manual,Importation manuelle,استيراد يدوي
allocationplangenerator.no_applied_plans_yet,No applied plans yet,Aún no hay planes aplicados,Aucun plan appliqué pour le moment,لا توجد خطط مطبقة بعد
allocationplangenerator.no_generated_plans_yet,No generated plans yet,Aún no hay planes generados,Aucun plan généré pour le moment,لا توجد خطط مولدة بعد
allocationplangenerator.period,Period,Período,Période,الفترة
allocationplangenerator.plan_name,Plan Name,Nombre del plan,Nom du plan,اسم الخطة
allocationplangenerator.product,Product,Producto,Produit,المنتج
allocationplangenerator.purpose,Purpose:,Propósito:,Objectif :,الغرض:
allocationplangenerator.samples,Samples,Muestras,Échantillons,عينات
allocationplangenerator.usage,Usage:,Uso:,Utilisation :,الاستخدام:
allocationplans.add_record,Add Record,Agregar registro,Ajouter un enregistrement,إضافة سجل
allocationplans.allocation_plans,Allocation Plans,Planes de asignación,Plans d'allocation,خطط التخصيص
allocationplans.availability_issues,Availability Issues,Problemas de disponibilidad,Problèmes de disponibilité,مشكلات التوفر
allocationplans.carrier,Carrier,Transportista,Transporteur,الناقل
allocationplans.delayed_shipments,Delayed Shipments,Envíos retrasados,Expéditions retardées,الشحنات المتأخرة
allocationplans.dest_city,Dest. City,Ciudad de destino,Ville de destination,مدينة الوجهة
allocationplans.dest_node,Dest. Node,Nodo de destino,Nœud de destination,العقدة الوجهة
allocationplans.dest_panelist,Dest. Panelist,Panelista de destino,Panéliste de destination,المشارك الوجهة
allocationplans.dest_status,Dest. Status,Estado de destino,Statut de destination,حالة الوجهة
allocationplans.event_id,Event ID,ID del evento,ID de l'événement,معرّف الحدث
allocationplans.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
allocationplans.no_records_found,No records found,No se encontraron registros,Aucun enregistrement trouvé,لم يتم العثور على سجلات
allocationplans.origin_city,Origin City,Ciudad de origen,Ville d'origine,مدينة المنشأ
allocationplans.origin_node,Origin Node,Nodo de origen,Nœud d'origine,عقدة المنشأ
allocationplans.origin_panelist,Origin Panelist,Panelista de origen,Panéliste d'origine,مشارك المنشأ
allocationplans.origin_status,Origin Status,Estado de Origen,Statut d'origine,حالة الأصل
allocationplans.pending,Pending,Pendiente,En attente,قيد الانتظار
allocationplans.plan,Plan,Plan,Plan,الخطة
allocationplans.product,Product,Producto,Produit,المنتج
allocationplans.received,Received,Recibido,Reçu,تم الاستلام
allocationplans.scheduled_date,Scheduled Date,Fecha Programada,Date prévue,التاريخ المجدول
allocationplans.sent,Sent,Enviado,Envoyé,تم الإرسال
allocationplans.shipment_status,Shipment Status,Estado del Envío,Statut de l'expédition,حالة الشحنة
allocationplans.tag_id,Tag ID,ID de Etiqueta,ID de l'étiquette,معرّف العلامة
allocationplans.total_delayed,Total Delayed,Total Retrasado,Total retardé,إجمالي التأخير
allocationplans.total_issues,Total Issues,Total de Problemas,Total des problèmes,إجمالي المشاكل
allocationplans.total_pending,Total & Pending,Total y Pendiente,Total & en attente,الإجمالي والقيد الانتظار
allocationplans.view_and_manage_generated_allocation_plans,View and manage generated allocation plans,Ver y gestionar planes de asignación generados,Voir et gérer les plans d'allocation générés,عرض وإدارة خطط التخصيص المُنشأة
allocationplans.week,Week,Semana,Semaine,الأسبوع
auth.click_here_to_auto_fill_demo_credentials,Click here to auto-fill demo credentials,Haga clic aquí para autocompletar credenciales de demostración,Cliquez ici pour remplir automatiquement les identifiants de démonstration,انقر هنا لملء بيانات الدخول التجريبية تلقائيًا
auth.email,Email:,Correo electrónico:,E-mail :,البريد الإلكتروني:
auth.email_address,Email Address,Dirección de correo electrónico,Adresse e-mail,عنوان البريد الإلكتروني
auth.enter_your_password,Enter your password,Ingrese su contraseña,Entrez votre mot de passe,أدخل كلمة المرور الخاصة بك
auth.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
auth.password,Password:,Contraseña:,Mot de passe :,كلمة المرور:
auth.secure_authentication_powered_by_supabase,Secure authentication powered by Supabase,Autenticación segura impulsada por Supabase,Authentification sécurisée propulsée par Supabase,المصادقة الآمنة مدعومة بواسطة Supabase
auth.sign_in,Sign In,Iniciar sesión,Se connecter,تسجيل الدخول
auth.signing_in,Signing in...,Iniciando sesión...,Connexion en cours...,جارٍ تسجيل الدخول...
auth.try_demo_account,Try Demo Account,Probar cuenta de demostración,Essayer le compte démo,جرب حساب العرض التجريبي
auth.wherequalitystarts,WhereQualityStarts,DondeComienzaLaCalidad,Où commence la qualité,حيث تبدأ الجودة
auth.your_email_com,your@email.com,tu@correo.com,votre@email.com,بريدك الإلكتروني@example.com
carriers.add_a_new_material_to_catalog_and_assign_to_produc,Add a new material to catalog and assign to product,Agregar un nuevo material al catálogo y asignarlo al producto,Ajouter un nouveau matériau au catalogue et l’assigner au produit,إضافة مادة جديدة إلى الكتالوج وتعيينها للمنتج
carriers.additional_details,Additional details...,Detalles adicionales...,Détails supplémentaires...,تفاصيل إضافية...
carriers.all_carriers,All Carriers,Todos los transportistas,Tous les transporteurs,جميع الناقلين
carriers.all_products,All Products,Todos los productos,Tous les produits,جميع المنتجات
carriers.all_products_have_materials,All products have materials!,¡Todos los productos tienen materiales!,Tous les produits ont des matériaux !,جميع المنتجات تحتوي على مواد!
carriers.all_status,All Status,Todos los estados,Tous les statuts,جميع الحالات
carriers.carrier,Carrier,Transportista,Transporteur,الناقل
carriers.carriers,Carriers,Transportistas,Transporteurs,الناقلون
carriers.carriers_products,Carriers & Products,Transportistas y productos,Transporteurs & Produits,الناقلون والمنتجات
carriers.choose_an_existing_material_from_your_catalog,Choose an existing material from your catalog,Elige un material existente de tu catálogo,Choisissez un matériau existant dans votre catalogue,اختر مادة موجودة من كتالوجك
carriers.choose_how_to_add_material_to_this_product,Choose how to add material to this product:,Elige cómo agregar material a este producto:,Choisissez comment ajouter un matériau à ce produit :,اختر كيفية إضافة المادة إلى هذا المنتج:
carriers.clear_filters,Clear Filters,Borrar filtros,Effacer les filtres,مسح الفلاتر
carriers.code,Code *,Código *,Tout réduire,الرمز *
carriers.collapse_all,Collapse All,Contraer todo,,طي الكل
carriers.create_carrier,Create Carrier,Crear transportista,Créer un transporteur,إنشاء ناقل
carriers.create_new_material,Create New Material,Crear nuevo material,Créer un nouveau matériau,إنشاء مادة جديدة
carriers.days,Days,Días,Jours,أيام
carriers.delete_carrier,Delete carrier,Eliminar transportista,Supprimer le transporteur,حذف الناقل
carriers.delete_product,Delete product,Eliminar producto,Supprimer le produit,حذف المنتج
carriers.delivery_hours,Delivery Hours,Horas de entrega,Heures de livraison,ساعات التسليم
carriers.description,Description,Descripción,Description,الوصف
carriers.download_csv,Download CSV,Descargar CSV,Télécharger CSV,تحميل CSV
carriers.e_g_24,"e.g., 24","p. ej., 24",ex. : 24,مثال: 24
carriers.e_g_dhl_exp_24,"e.g., DHL-EXP-24","p. ej., DHL-EXP-24",ex. : DHL-EXP-24,مثال: DHL-EXP-24
carriers.e_g_dhl_express,"e.g., DHL Express","p. ej., DHL Express",ex. : DHL Express,مثال: DHL إكسبريس
carriers.e_g_dhl_ups,"e.g., DHL, UPS","p. ej., DHL, UPS","ex. : DHL, UPS",مثال: DHL، UPS
carriers.e_g_express_delivery_24_hours,"e.g., Express delivery 24 hours","p. ej., entrega exprés 24 horas",ex. : Livraison express 24 heures,مثال: توصيل سريع خلال 24 ساعة
carriers.e_g_express_standard_economy,"e.g., express, standard, economy","p. ej., exprés, estándar, económico","ex. : express, standard, économique",مثال: سريع، عادي، اقتصادي
carriers.edit_carrier,Edit carrier,Editar transportista,Modifier le transporteur,تعديل الناقل
carriers.edit_product,Edit product,Editar producto,Modifier le produit,تعديل المنتج
carriers.every_product_has_materials_assigned_from_the_cata,Every product has materials assigned from the catalog,Cada producto tiene materiales asignados del catálogo,Chaque produit a des matériaux assignés depuis le catalogue,كل منتج يحتوي على مواد مخصصة من الكتالوج
carriers.expand_all,Expand All,Expandir todo,Tout développer,توسيع الكل
carriers.expand_all_products_in_this_carrier,Expand all products in this carrier,Expandir todos los productos en este transportista,Développer tous les produits de ce transporteur,توسيع جميع المنتجات في هذا الناقل
carriers.hours,Hours,Horas,Heures,ساعات
carriers.loading_carriers,Loading carriers...,Cargando transportistas...,Chargement des transporteurs...,جارٍ تحميل شركات الشحن...
carriers.manage_shipping_carriers_products_and_material_req,"Manage shipping carriers, products, and material requirements","Gestionar transportistas, productos y requisitos de materiales","Gérer les transporteurs d'expédition, les produits et les besoins en matériaux",إدارة شركات الشحن والمنتجات ومتطلبات المواد
carriers.mat_001,MAT-001,MAT-001,MAT-001,MAT-001
carriers.material,Material,Material,Matériau,مادة
carriers.materials,Materials,Materiales,Matériaux,مواد
carriers.name,Name *,Nombre *,Nom *,الاسم *
carriers.no_active_materials_in_catalog_create_a_new_one_in,No active materials in catalog. Create a new one instead.,No hay materiales activos en el catálogo. Cree uno nuevo en su lugar.,Aucun matériau actif dans le catalogue. Créez-en un nouveau à la place.,لا توجد مواد نشطة في الكتالوج. قم بإنشاء مادة جديدة بدلاً من ذلك.
carriers.no_carriers_defined_yet,No carriers defined yet,No se han definido transportistas aún,Aucun transporteur défini pour le moment,لم يتم تعريف أي شركات شحن بعد
carriers.no_materials_assigned_yet,No materials assigned yet,No se han asignado materiales aún,Aucun matériau assigné pour le moment,لم يتم تعيين أي مواد بعد
carriers.no_products_for_this_carrier_yet,No products for this carrier yet,No hay productos para este transportista aún,Aucun produit pour ce transporteur pour le moment,لا توجد منتجات لهذا الناقل بعد
carriers.no_results_found,No results found,No se encontraron resultados,Aucun résultat trouvé,لم يتم العثور على نتائج
carriers.pending_materials,Pending Materials,Materiales pendientes,Matériaux en attente,المواد المعلقة
carriers.product,Product,Producto,Produit,منتج
carriers.product_code,Product Code,Código de producto,Code produit,رمز المنتج
carriers.products,Products,Productos,Produits,منتجات
carriers.products_without_materials,Products without Materials,Productos sin materiales,Produits sans matériaux,منتجات بدون مواد
carriers.promise,Promise,Compromiso,Engagement,الوعد
carriers.quantity,Quantity *,Cantidad *,Quantité *,الكمية *
carriers.remove_material,Remove material,Eliminar material,Supprimer le matériau,إزالة المادة
carriers.rfid_tag,RFID Tag,Etiqueta RFID,Étiquette RFID,بطاقة التعريف بموجات الراديو (RFID)
carriers.search_carriers_or_products,Search carriers or products...,Buscar transportistas o productos...,Rechercher des transporteurs ou des produits...,ابحث عن شركات النقل أو المنتجات...
carriers.select_from_catalog,Select from Catalog,Seleccionar del Catálogo,Sélectionner dans le catalogue,اختر من الكتالوج
carriers.select_material,Select Material *,Seleccionar Material *,Sélectionner le matériau *,اختر المادة *
carriers.standard_delivery_time,Standard Delivery Time *,Tiempo de Entrega Estándar *,Délai de livraison standard *,وقت التسليم القياسي *
carriers.start_by_creating_your_first_carrier_to_manage_shi,Start by creating your first carrier to manage shipping products,Comience creando su primer transportista para gestionar productos de envío,Commencez par créer votre premier transporteur pour gérer les produits d'expédition,ابدأ بإنشاء أول ناقل لديك لإدارة شحن المنتجات
carriers.status,Status *,Estado *,Statut *,الحالة *
carriers.these_products_need_material_assignments_to_be_ope,These products need material assignments to be operational,Estos productos necesitan asignaciones de material para estar operativos,Ces produits nécessitent des affectations de matériaux pour être opérationnels,هذه المنتجات تحتاج إلى تعيين مواد لتكون فعالة
carriers.time_unit,Time Unit *,Unidad de Tiempo *,Unité de temps *,وحدة الزمن *
carriers.try_adjusting_your_search_or_filters,Try adjusting your search or filters,Intente ajustar su búsqueda o filtros,Essayez d'ajuster votre recherche ou vos filtres,حاول تعديل بحثك أو الفلاتر
carriers.type,Type,Tipo,Type,النوع
carriers.unit_measure,Unit Measure,Unidad de Medida,Unité de mesure,وحدة القياس
carriers.units_kg_etc,"units, kg, etc.","unidades, kg, etc.","unités, kg, etc.",وحدات، كجم، إلخ.
carriers.update_quantity,Update quantity,Actualizar cantidad,Mettre à jour la quantité,تحديث الكمية
carriers.with_materials,With Materials,Con Materiales,Avec matériaux,مع المواد
carriers.without_materials,Without Materials,Sin Materiales,Sans matériaux,بدون مواد
common.actions,Actions,Acciones,Actions,الإجراءات
common.active,Active,Activo,Actif,نشط
common.apply,Apply,Aplicar,Appliquer,تطبيق
common.cancel,Cancel,Cancelar,Annuler,إلغاء
common.clear,Clear,Limpiar,Effacer,مسح
common.close,Close,Cerrar,Fermer,إغلاق
common.delete,Delete,Eliminar,Supprimer,حذف
common.edit,Edit,Editar,Modifier,تعديل
common.error,Error,Error,Erreur,خطأ
common.inactive,Inactive,Inactivo,Inactif,غير نشط
common.information,Information,Información,Informations,معلومات
common.promise,Promise,Promesa,Promesse,وعد
common.refresh,Refresh,Actualizar,Actualiser,تحديث
common.remove,Remove,Quitar,Retirer,إزالة
common.reset,Reset,Restablecer,Réinitialiser,إعادة تعيين
common.save,Save,Guardar,Enregistrer,حفظ
common.search,Search,Buscar,Rechercher,بحث
common.status,Status,Estado,Statut,الحالة
common.total,Total,Total,Total,الإجمالي
countrytopology.all_cities,All Cities,Todas las ciudades,Toutes les villes,جميع المدن
countrytopology.all_nodes,All Nodes,Todos los nodos,Tous les nœuds,جميع العقد
countrytopology.all_nodes_have_panelists,All nodes have panelists!,¡Todos los nodos tienen panelistas!,Tous les nœuds ont des panélistes !,جميع العقد تحتوي على مشاركين!
countrytopology.all_regions,All Regions,Todas las regiones,Toutes les régions,جميع المناطق
countrytopology.cities,Cities,Ciudades,Villes,المدن
countrytopology.city,City,Ciudad,Ville,المدينة
countrytopology.clear_filters,Clear Filters,Borrar filtros,Effacer les filtres,مسح الفلاتر
countrytopology.collapse_all,Collapse All,Contraer todo,Réduire tout,طي الكل
countrytopology.country_topology,Country Topology,Topología del país,Topologie du pays,طوبولوجيا الدولة
countrytopology.create_region,Create Region,Crear región,Créer une région,إنشاء منطقة
countrytopology.define_and_manage_your_country_network_infrastruct,Define and manage your country network infrastructure hierarchy,Defina y gestione la jerarquía de la infraestructura de red de su país,Définissez et gérez la hiérarchie de l'infrastructure réseau de votre pays,تعريف وإدارة هيكلية بنية شبكة الدولة الخاصة بك
countrytopology.download_csv,Download CSV,Descargar CSV,Télécharger CSV,تحميل CSV
countrytopology.every_node_in_your_topology_has_a_panelist_assigne,Every node in your topology has a panelist assigned,Cada nodo en su topología tiene un panelista asignado,Chaque nœud de votre topologie a un panéliste assigné,كل عقدة في الطوبولوجيا الخاصة بك لديها عضو لجنة معين
countrytopology.expand_all,Expand All,Expandir todo,Développer tout,توسيع الكل
countrytopology.loading_topology,Loading topology...,Cargando topología...,Chargement de la topologie...,جارٍ تحميل الطوبولوجيا...
countrytopology.no_results_found,No results found,No se encontraron resultados,Aucun résultat trouvé,لم يتم العثور على نتائج
countrytopology.no_topology_defined_yet,No topology defined yet,Aún no se ha definido ninguna topología,Aucune topologie définie pour le moment,لم يتم تعريف الطوبولوجيا بعد
countrytopology.node_id,Node ID,ID del nodo,ID du nœud,معرّف العقدة
countrytopology.nodes_without_panelists,Nodes without Panelists,Nodos sin panelistas,Nœuds sans panélistes,العقد بدون أعضاء لجنة
countrytopology.pending_panelist,Pending Panelist,Panelista pendiente,Panéliste en attente,عضو لجنة معلق
countrytopology.region,Region,Región,Région,المنطقة
countrytopology.regions,Regions,Regiones,Régions,المناطق
countrytopology.search_regions_cities_or_nodes,"Search regions, cities, or nodes...","Buscar regiones, ciudades o nodos...","Rechercher des régions, villes ou nœuds...",ابحث عن مناطق أو مدن أو عقد...
