key,translation
allocation_generator.august,أغسطس
allocation_generator.auto_fill,ملء تلقائي إلى 100٪
allocation_generator.automatic_generator,المولد التلقائي
allocation_generator.carrier,شركة النقل
allocation_generator.city_distribution_matrix,مصفوفة التوزيع حسب المدينة (A-B-C)
allocation_generator.clear,مسح
allocation_generator.confirm_apply,تطبيق هذه الخطة؟ سيتم نقلها إلى الخطط المطبقة.
allocation_generator.confirm_delete,حذف هذه الخطة؟
allocation_generator.csv_import_coming_soon,وظيفة استيراد CSV قريباً!
allocation_generator.december,ديسمبر
allocation_generator.delete,حذف
allocation_generator.description,إنشاء خطط تخصيص العينات تلقائياً بناءً على أنماط التوزيع
allocation_generator.download_csv,تنزيل CSV
allocation_generator.end_date,تاريخ الانتهاء
allocation_generator.error,خطأ
allocation_generator.error_downloading,خطأ في تنزيل الخطة
allocation_generator.february,فبراير
allocation_generator.generate_plan,إنشاء خطة
allocation_generator.generated,تم الإنشاء
allocation_generator.generated_plans,الخطط المنشأة
allocation_generator.generated_plans_title,الخطط المولدة
allocation_generator.generator,المولد
allocation_generator.january,يناير
allocation_generator.july,يوليو
allocation_generator.june,يونيو
allocation_generator.loading,جاري التحميل...
allocation_generator.manual_import,الاستيراد اليدوي
allocation_generator.march,مارس
allocation_generator.may,مايو
allocation_generator.no_applied_plans,لا توجد خطط مطبقة بعد
allocation_generator.no_details_found,لم يتم العثور على تفاصيل لهذه الخطة
allocation_generator.no_generated_plans,لا توجد خطط مولدة بعد
allocation_generator.november,نوفمبر
allocation_generator.october,أكتوبر
allocation_generator.period,الفترة
allocation_generator.plan_applied_success,تم تطبيق الخطة بنجاح!
allocation_generator.plan_deleted_success,تم حذف الخطة بنجاح!
allocation_generator.plan_name,اسم الخطة
allocation_generator.product,المنتج
allocation_generator.quick_period_selection,تحديد سريع للفترة
allocation_generator.samples,العينات
allocation_generator.seasonal_distribution,التوزيع الموسمي
allocation_generator.select_carrier,تحديد ناقل
allocation_generator.select_product,تحديد منتج
allocation_generator.september,سبتمبر
allocation_generator.start_date,تاريخ البدء
allocation_generator.status,الحالة
allocation_generator.tab_applied_plans,الخطط المطبقة
allocation_generator.tab_generated_plans,الخطط المولدة
allocation_generator.tab_generator,المولد
allocation_generator.title,مولد خطط التخصيص
allocation_generator.to,إلى
allocation_generator.tooltip_how_it_works,كيف يعمل:
allocation_generator.tooltip_how_it_works_text,حدد إجمالي العينات ونطاق التاريخ وشركة النقل/المنتج ومصفوفات التوزيع. سينشئ النظام خطة مفصلة مع أزواج المنشأ-الوجهة والتواريخ المجدولة.
allocation_generator.tooltip_purpose,الغرض:
allocation_generator.tooltip_purpose_text,إنشاء خطط تخصيص العينات تلقائياً بناءً على أنماط التوزيع حسب المدينة والتغيرات الموسمية.
allocation_generator.tooltip_title,مولد خطط التخصيص
allocation_generator.tooltip_usage,الاستخدام:
allocation_generator.tooltip_usage_text,"أنشئ الخطط، راجعها في علامة تبويب ""الخطط المولدة""، ثم قم بتطبيقها لتفعيل تخصيصات العينات."
allocation_generator.total_samples,إجمالي العينات
allocation_generator.user_not_authenticated,المستخدم غير مصادق عليه
allocation_generator.year,السنة
allocation_plans.all_carriers,جميع شركات النقل
allocation_plans.all_cities,جميع المدن
allocation_plans.all_nodes,جميع العقد
allocation_plans.all_plans,جميع الخطط
allocation_plans.all_products,جميع المنتجات
allocation_plans.all_records,جميع السجلات
allocation_plans.all_status,جميع الحالات
allocation_plans.auto_fill_to_100,الملء التلقائي إلى 100%
allocation_plans.availability_issues,مشاكل التوفر
allocation_plans.bulk_operations,العمليات الجماعية
allocation_plans.cancel_selected,إلغاء المحدد
allocation_plans.cancelled,تم الإلغاء
allocation_plans.carrier,شركة النقل
allocation_plans.change_destination_node,تغيير عقدة الوجهة
allocation_plans.change_origin_node,تغيير عقدة الأصل
allocation_plans.change_scheduled_date,تغيير التاريخ المجدول
allocation_plans.city_distribution_matrix,مصفوفة توزيع المدينة
allocation_plans.city_distribution_matrix_a_b_c,مصفوفة توزيع المدينة (أ-ب-ج)
allocation_plans.clear_selection,مسح التحديد
allocation_plans.completed,مكتمل
allocation_plans.delete_selected,حذف المحدد
allocation_plans.destination,الوجهة:
allocation_plans.destination_city,مدينة الوجهة
allocation_plans.destination_node,عقدة الوجهة
allocation_plans.download_csv_template,تحميل قالب CSV
allocation_plans.edit_record,تعديل السجل
allocation_plans.end_date,تاريخ الانتهاء
allocation_plans.enter_tag_id,أدخل معرف الوسم
allocation_plans.error,خطأ:
allocation_plans.event_id,معرف الحدث
allocation_plans.example,مثال:
allocation_plans.filters,مرشحات
allocation_plans.first_day_of_the_allocation_period_samples_will_be,أول يوم في فترة التخصيص. سيتم جدولة العينات من هذا التاريخ.
allocation_plans.import_csv,استيراد CSV
allocation_plans.invalid,غير صالح
allocation_plans.last_day_of_the_allocation_period_samples_will_be_,آخر يوم في فترة التخصيص. سيتم جدولة العينات حتى هذا التاريخ.
allocation_plans.loading,جاري تحميل خطط التخصيص...
allocation_plans.no_panelist,لا يوجد مشارك
allocation_plans.no_panelist_assigned_to_destination_node,لا يوجد مشارك معين لعقدة الوجهة
allocation_plans.no_panelist_assigned_to_origin_node,لا يوجد مشارك معين لعقدة الأصل
allocation_plans.no_records,لم يتم العثور على خطط تخصيص
allocation_plans.notified,تم الإخطار
allocation_plans.optional,اختياري
allocation_plans.optional_distribute_samples_unevenly_across_months,اختياري: توزيع العينات بشكل غير متساوٍ عبر الأشهر لتعكس الأنماط الموسمية.
allocation_plans.origin,الأصل:
allocation_plans.origin_city,مدينة الأصل
allocation_plans.origin_node,عقدة الأصل
allocation_plans.pending,قيد الانتظار
allocation_plans.plan,خطة
allocation_plans.plan_name,اسم الخطة *
allocation_plans.please_ensure_destination_panelist,يرجى التأكد من أن العضو الوجهة
allocation_plans.please_ensure_origin_panelist,يرجى التأكد من أن العضو المصدر
allocation_plans.please_enter_tag_id,يرجى إدخال معرف العلامة
allocation_plans.please_select_datetime,يرجى تحديد التاريخ والوقت
allocation_plans.product,المنتج
allocation_plans.promise,الوعد
allocation_plans.quick_period_selection,اختيار فترة سريع
allocation_plans.receive,استلام
allocation_plans.received,تم الاستلام
allocation_plans.received_at_time,تم الاستلام في
allocation_plans.received_by,تم الاستلام بواسطة
allocation_plans.received_date_time,تاريخ ووقت الاستلام
allocation_plans.register_reception,تسجيل الاستلام
allocation_plans.register_shipment,تسجيل الشحنة
allocation_plans.registered_by,مسجل بواسطة
allocation_plans.reprocess_errors,إعادة معالجة الأخطاء
allocation_plans.reset_filters,إعادة تعيين الفلاتر
allocation_plans.scheduled_date,التاريخ المجدول
allocation_plans.search_by_event_id,البحث بواسطة معرف الحدث...
allocation_plans.search_by_tag_id,البحث بواسطة معرف العلامة...
allocation_plans.seasonal_distribution,التوزيع الموسمي
allocation_plans.select_carrier,اختر الناقل
allocation_plans.select_city,اختر المدينة
allocation_plans.select_node,اختر العقدة...
allocation_plans.select_plan,اختر الخطة
allocation_plans.select_product,اختر المنتج
allocation_plans.selected_count,{count} محدد
allocation_plans.send,إرسال
allocation_plans.sent,تم الإرسال
allocation_plans.sent_at,تم الإرسال في:
allocation_plans.sent_at_time,تم الإرسال في
allocation_plans.sent_by,تم الإرسال بواسطة
allocation_plans.sent_date_time,تاريخ ووقت الإرسال
allocation_plans.start_date,تاريخ البدء
allocation_plans.tag_id,معرّف الوسم
allocation_plans.total_samples,إجمالي العينات *
allocation_plans.transfer_error,خطأ في النقل
allocation_plans.validation_errors,أخطاء التحقق:
allocation_plans.year,السنة
allocationplangenerator.allocation_plan_generator,مولد خطة التخصيص
allocationplangenerator.applied_date,تاريخ التطبيق
allocationplangenerator.applied_plans_historical,الخطط المطبقة (تاريخية)
allocationplangenerator.automatic_generator,المولد التلقائي
allocationplangenerator.carrier,الناقل
allocationplangenerator.download_csv,تحميل ملف CSV
allocationplangenerator.generate_sample_allocation_plans_automatically_bas,توليد خطط تخصيص العينات تلقائيًا بناءً على أنماط التوزيع
allocationplangenerator.generated_plans,الخطط المُولدة
allocationplangenerator.generator,المولد
allocationplangenerator.how_it_works,كيفية العمل:
allocationplangenerator.loading,جارٍ التحميل...
allocationplangenerator.manual_import,استيراد يدوي
allocationplangenerator.no_applied_plans_yet,لا توجد خطط مطبقة حتى الآن
allocationplangenerator.no_generated_plans_yet,لا توجد خطط مُولدة حتى الآن
allocationplangenerator.period,الفترة
allocationplangenerator.plan_name,اسم الخطة
allocationplangenerator.product,المنتج
allocationplangenerator.purpose,الغرض:
allocationplangenerator.samples,عينات
allocationplangenerator.usage,الاستخدام:
allocationplans.add_record,إضافة سجل
allocationplans.allocation_plans,خطط التخصيص
allocationplans.availability_issues,مشاكل التوفر
allocationplans.carrier,الناقل
allocationplans.delayed_shipments,الشحنات المتأخرة
allocationplans.dest_city,مدينة الوجهة
allocationplans.dest_node,عقدة الوجهة
allocationplans.dest_panelist,مشارك الوجهة
allocationplans.dest_status,حالة الوجهة
allocationplans.event_id,معرّف الحدث
allocationplans.loading,جارٍ التحميل...
allocationplans.no_records_found,لم يتم العثور على سجلات
allocationplans.origin_city,مدينة المنشأ
allocationplans.origin_node,عقدة المنشأ
allocationplans.origin_panelist,مشارك المنشأ
allocationplans.origin_status,حالة الأصل
allocationplans.pending,قيد الانتظار
allocationplans.plan,الخطة
allocationplans.product,المنتج
allocationplans.received,تم الاستلام
allocationplans.scheduled_date,التاريخ المحدد
allocationplans.sent,تم الإرسال
allocationplans.shipment_status,حالة الشحنة
allocationplans.tag_id,معرّف الوسم
allocationplans.total_delayed,إجمالي التأخير
allocationplans.total_issues,إجمالي المشكلات
allocationplans.total_pending,الإجمالي والقيد الانتظار
allocationplans.view_and_manage_generated_allocation_plans,عرض وإدارة خطط التخصيص المُنشأة
allocationplans.week,الأسبوع
auth.click_here_to_auto_fill_demo_credentials,انقر هنا لملء بيانات الدخول التجريبية تلقائيًا
auth.email,البريد الإلكتروني:
auth.email_address,عنوان البريد الإلكتروني
auth.enter_your_password,أدخل كلمة المرور الخاصة بك
auth.loading,جارٍ التحميل...
auth.password,كلمة المرور:
auth.secure_authentication_powered_by_supabase,مصادقة آمنة مدعومة بواسطة Supabase
auth.sign_in,تسجيل الدخول
auth.signing_in,جارٍ تسجيل الدخول...
auth.try_demo_account,جرب حساب العرض التجريبي
auth.wherequalitystarts,حيث تبدأ الجودة
auth.your_email_com,بريدك الإلكتروني@مثال.com
bulk.cancelled_records,السجلات الملغاة
bulk.confirm_cancel,إلغاء السجلات المحددة؟
bulk.confirm_delete,حذف السجلات المحددة؟
bulk.confirm_reprocess,إعادة معالجة السجلات المحددة؟
bulk.deleted_records,السجلات المحذوفة
bulk.please_select_date,يرجى تحديد تاريخ
bulk.please_select_destination_node,يرجى تحديد عقدة الوجهة
bulk.please_select_origin_node,يرجى تحديد عقدة المصدر
bulk.reprocessed_records,السجلات المعاد معالجتها
bulk.retry_errors,إعادة محاولة الأخطاء
bulk.selected,محدد
bulk.updated_records,السجلات المحدثة
carriers.add_a_new_material_to_catalog_and_assign_to_produc,أضف مادة جديدة إلى الكتالوج وعيّنها للمنتج
carriers.add_carrier,إضافة ناقل
carriers.add_product,إضافة منتج
carriers.additional_details,تفاصيل إضافية...
carriers.all_carriers,جميع الناقلين
carriers.all_products,جميع المنتجات
carriers.all_products_have_materials,جميع المنتجات تحتوي على مواد!
carriers.all_status,جميع الحالات
carriers.carrier,الناقل
carriers.carrier_details,تفاصيل الناقل
carriers.carriers,الناقلون
carriers.carriers_products,الناقلون والمنتجات
carriers.choose_an_existing_material_from_your_catalog,اختر مادة موجودة من كتالوجك
carriers.choose_how_to_add_material_to_this_product,اختر كيفية إضافة المادة إلى هذا المنتج:
carriers.clear_filters,مسح الفلاتر
carriers.code,الرمز *
carriers.collapse_all,طي الكل
carriers.create_carrier,إنشاء ناقل
carriers.create_new_material,إنشاء مادة جديدة
carriers.days,أيام
carriers.delete_carrier,حذف الناقل
carriers.delete_product,حذف المنتج
carriers.delivery_hours,ساعات التسليم
carriers.description,الوصف
carriers.download_csv,تحميل ملف CSV
carriers.e_g_24,مثلاً، 24
carriers.e_g_dhl_exp_24,مثلاً، DHL-EXP-24
carriers.e_g_dhl_express,مثلاً، دي إتش إل إكسبرس
carriers.e_g_dhl_ups,مثلاً، دي إتش إل، يو بي إس
carriers.e_g_express_delivery_24_hours,مثلاً، توصيل سريع خلال 24 ساعة
carriers.e_g_express_standard_economy,مثلاً، سريع، عادي، اقتصادي
carriers.edit_carrier,تعديل الناقل
carriers.edit_product,تعديل المنتج
carriers.every_product_has_materials_assigned_from_the_cata,كل منتج يحتوي على مواد مخصصة من الكتالوج
carriers.expand_all,توسيع الكل
carriers.expand_all_products_in_this_carrier,توسيع جميع المنتجات في هذا الناقل
carriers.hours,ساعات
carriers.loading,جاري تحميل الناقلين...
carriers.loading_carriers,جارٍ تحميل شركات الشحن...
carriers.manage_shipping_carriers_products_and_material_req,إدارة شركات الشحن، المنتجات، ومتطلبات المواد
carriers.mat_001,MAT-001
carriers.material,مادة
carriers.materials,مواد
carriers.name,الاسم *
carriers.no_active_materials_in_catalog_create_a_new_one_in,لا توجد مواد نشطة في الكتالوج. قم بإنشاء مادة جديدة بدلاً من ذلك.
carriers.no_carriers,لم يتم العثور على ناقلين
carriers.no_carriers_defined_yet,لم يتم تعريف أي شركات شحن بعد
carriers.no_materials_assigned_yet,لم يتم تعيين أي مواد بعد
carriers.no_products,لا توجد منتجات
carriers.no_products_for_this_carrier_yet,لا توجد منتجات لهذا الناقل بعد
carriers.no_results_found,لم يتم العثور على نتائج
carriers.pending_materials,المواد المعلقة
carriers.product,منتج
carriers.product_code,رمز المنتج
carriers.products,منتجات
carriers.products_count,عدد المنتجات
carriers.products_without_materials,منتجات بدون مواد
carriers.promise,الوعد
carriers.quantity,الكمية *
carriers.remove_material,إزالة المادة
carriers.rfid_tag,علامة RFID
carriers.search_carriers_or_products,ابحث عن شركات النقل أو المنتجات...
carriers.select_from_catalog,اختر من الكتالوج
carriers.select_material,اختر المادة *
carriers.standard_delivery_time,وقت التسليم القياسي *
carriers.start_by_creating_your_first_carrier_to_manage_shi,ابدأ بإنشاء أول ناقل لديك لإدارة شحن المنتجات
carriers.status,الحالة *
carriers.these_products_need_material_assignments_to_be_ope,هذه المنتجات تحتاج إلى تعيين مواد لتكون قابلة للتشغيل
carriers.time_unit,وحدة الوقت *
carriers.try_adjusting_your_search_or_filters,حاول تعديل بحثك أو الفلاتر
carriers.type,النوع
carriers.unit_measure,وحدة القياس
carriers.units_kg_etc,وحدات، كجم، إلخ.
carriers.update_quantity,تحديث الكمية
carriers.with_materials,مع المواد
carriers.without_materials,بدون مواد
catalog.add_material,إضافة مادة
catalog.material_code,رمز المادة
catalog.material_name,اسم المادة
catalog.title,كتالوج المواد
common.1st_semester,الفصل الأول
common.2nd_semester,الفصل الثاني
common.about,حول
common.actions,الإجراءات
common.active,نشط
common.all,الكل
common.apply,تطبيق
common.available,متاح
common.bulk_edit,تحرير جماعي
common.cancel,إلغاء
common.clear,مسح
common.close,إغلاق
common.confirm_delete,حذف هذا السجل؟
common.create,إنشاء
common.created_successfully,تم الإنشاء بنجاح
common.delete,حذف
common.deleted_successfully,تم الحذف بنجاح
common.download,تحميل
common.edit,تعديل
common.error,خطأ
common.export,تصدير
common.filters,الفلاتر
common.generate_plan,إنشاء الخطة
common.hide_filters,إخفاء الفلاتر
common.import,استيراد
common.inactive,غير نشط
common.information,معلومات
common.loading,جاري التحميل...
common.no_panelist,لا يوجد عضو
common.of,من
common.pending,قيد الانتظار
common.please_select_at_least_one,يرجى تحديد سجل واحد على الأقل
common.promise,وعد
common.records,السجلات
common.refresh,تحديث
common.register,تسجيل
common.remove,إزالة
common.reset,إعادة تعيين
common.save,حفظ
common.search,بحث
common.select_all,تحديد الكل
common.show_filters,إظهار الفلاتر
common.status,الحالة
common.total,الإجمالي
common.unavailable,غير متاح
common.updated_successfully,تم التحديث بنجاح
common.year,السنة
countrytopology.all_cities,جميع المدن
countrytopology.all_nodes,جميع العقد
countrytopology.all_nodes_have_panelists,جميع العقد تحتوي على أعضاء لجنة!
countrytopology.all_regions,جميع المناطق
countrytopology.cities,المدن
countrytopology.city,المدينة
countrytopology.clear_filters,مسح الفلاتر
countrytopology.collapse_all,طي الكل
countrytopology.country_topology,طوبولوجيا الدولة
countrytopology.create_region,إنشاء منطقة
countrytopology.define_and_manage_your_country_network_infrastruct,تعريف وإدارة هيكلية بنية شبكة الدولة الخاصة بك
countrytopology.download_csv,تحميل CSV
countrytopology.every_node_in_your_topology_has_a_panelist_assigne,كل عقدة في الطوبولوجيا الخاصة بك لديها مشارك معين
countrytopology.expand_all,توسيع الكل
countrytopology.loading_topology,جارٍ تحميل الطوبولوجيا...
countrytopology.no_results_found,لم يتم العثور على نتائج
countrytopology.no_topology_defined_yet,لم يتم تعريف الطوبولوجيا بعد
countrytopology.node_id,معرّف العقدة
countrytopology.nodes_without_panelists,العقد بدون مشاركين
countrytopology.pending_panelist,مشارك معلق
countrytopology.region,منطقة
countrytopology.regions,مناطق
countrytopology.search_regions_cities_or_nodes,ابحث عن مناطق أو مدن أو عقد...
countrytopology.start_by_creating_your_first_region_to_build_your_,ابدأ بإنشاء أول منطقة لبناء طوبولوجيا الدولة الخاصة بك
countrytopology.these_nodes_need_panelist_assignment_to_be_operati,تحتاج هذه العقد إلى تعيين مشارك لتكون عملية
countrytopology.topology_tree,شجرة الطوبولوجيا
countrytopology.total_nodes,إجمالي العقد
countrytopology.try_adjusting_your_search_or_filters,حاول تعديل بحثك أو الفلاتر
countrytopology.with_panelist,مع المشارك
countrytopology.with_panelists,مع المشاركين
countrytopology.without_panelist,بدون المشارك
countrytopology.without_panelists,بدون المشاركين
dashboard.active_carriers,الناقلون النشطون
dashboard.active_products,المنتجات النشطة
dashboard.active_resources,الموارد النشطة
dashboard.allocation_plans,خطط التخصيص
dashboard.availability_issues,مشكلات التوفر
dashboard.availability_rate,معدل التوفر
dashboard.available_combinations,التوليفات المتاحة
dashboard.carrier_product_pairs,أزواج الناقل والمنتج
dashboard.carriers_products,الناقلون والمنتجات
dashboard.configured_routes,المسارات المُعدة
dashboard.coverage_rate,معدل التغطية
dashboard.critical_alerts,التنبيهات الحرجة
dashboard.current_alerts,التنبيهات الحالية
dashboard.current_month,الشهر الحالي
dashboard.currently_unavailable,غير متوفر حالياً
dashboard.delayed_shipments,الشحنات المتأخرة
dashboard.delivery_standards,معايير التسليم
dashboard.incomplete_standards,المعايير غير المكتملة
dashboard.issues_delays,المشكلات والتأخيرات
dashboard.last_30_days,آخر 30 يوماً
dashboard.last_60_days,آخر 60 يوماً
dashboard.last_90_days,آخر 90 يوماً
dashboard.loading_dashboard,جارٍ تحميل لوحة التحكم...
dashboard.management_dashboard,لوحة تحكم الإدارة
dashboard.management_tip,نصيحة إدارية
dashboard.material_management,إدارة المواد
dashboard.material_requirements,متطلبات المواد
dashboard.needing_review,بحاجة إلى مراجعة
dashboard.needs_review,يحتاج مراجعة
dashboard.next_30_days,الثلاثون يوماً القادمة
dashboard.next_month,الشهر القادم
dashboard.on_vacation,في إجازة
dashboard.panelist_status,حالة المشارك
dashboard.panelist_stock,مخزون المشارك
dashboard.panelists_availability,المشاركون والتوافر
dashboard.pending_items,العناصر المعلقة
dashboard.pending_shipments,الشحنات المعلقة
dashboard.purchase_orders,أوامر الشراء
dashboard.regulator_stock,مخزون المنظم
dashboard.selected_period,الفترة المختارة:
dashboard.shipments_to_panelists,الشحنات إلى المشاركين
dashboard.standards_configuration,تكوين المعايير
dashboard.stock_alerts,تنبيهات المخزون
dashboard.tooltip_active_carriers,عدد شركات النقل النشطة المتاحة للشحنات
dashboard.tooltip_active_products,عدد المنتجات النشطة المكونة عبر جميع شركات النقل
dashboard.tooltip_coverage_rate,نسبة المعايير ذات التكوين الكامل
dashboard.tooltip_delayed_shipments,الشحنات المجدولة قبل اليوم ولكن لم يتم استلامها بعد
dashboard.tooltip_management_dashboard,لوحة التحكم الإدارية: نظرة عامة على المقاييس التشغيلية وحالة الموارد والتنبيهات الحرجة. استخدم محدد الفترة لعرض إحصائيات الشهر الحالي أو القادم.
dashboard.tooltip_material_requirements,متطلبات المواد المعلقة من الجهات التنظيمية
dashboard.tooltip_needs_review,المعايير التي تفتقد الوقت أو نسبة النجاح المكونة
dashboard.tooltip_panelist_stock,تنبيهات المخزون في مواقع الأعضاء
dashboard.tooltip_pending_shipments,شحنات المخزون المعلقة للإرسال
dashboard.tooltip_received_plans,الخطط المستلمة بنجاح
dashboard.tooltip_sent_plans,الخطط المرسلة وفي الطريق
dashboard.tooltip_shipments_to_panelists,الشحنات المعلقة من المواد إلى الأعضاء
dashboard.tooltip_total_panelists,العدد الإجمالي للأعضاء في النظام
dashboard.tooltip_total_plans,إجمالي خطط التخصيص في الفترة المحددة
dashboard.tooltip_total_standards,العدد الإجمالي لمعايير التسليم المكونة
dashboard.total_panelists,إجمالي المشاركين
dashboard.total_plans,إجمالي الخطط
dashboard.total_standards,إجمالي المعايير
dashboard.total_status,الإجمالي والحالة
dashboard.unassigned,غير مخصص
dashboard.unavailable,غير متاح
dashboard.upcoming_vacations,الإجازات القادمة
delivery_standards.about_text,تكوين أوقات التسليم المتوقعة بين المدن لكل مجموعة ناقل-منتج
delivery_standards.absolute,مطلق
delivery_standards.add_standard,إضافة معيار
delivery_standards.all_carriers,جميع الناقلين
delivery_standards.all_destinations,جميع الوجهات
delivery_standards.all_origins,جميع المصادر
delivery_standards.all_products,جميع المنتجات
delivery_standards.bulk_update,تحديث جماعي
delivery_standards.carrier,شركة النقل *
delivery_standards.clear_all_selections,مسح كل التحديدات
delivery_standards.confirm_delete,حذف معيار التسليم هذا؟
delivery_standards.create_standard,إنشاء معيار
delivery_standards.created,تم إنشاء معيار التسليم بنجاح
delivery_standards.critical_threshold,العتبة الحرجة
delivery_standards.days,أيام
delivery_standards.delete_selected,حذف المحدد
delivery_standards.deleted,تم حذف معيار التسليم بنجاح
delivery_standards.description,الوصف
delivery_standards.destination,الوجهة
delivery_standards.destination_city,مدينة الوجهة *
delivery_standards.destination_classification,تصنيف الوجهة
delivery_standards.e_g_24,مثال: 24
delivery_standards.e_g_85,مثال: 85
delivery_standards.edit_standard,تحرير المعيار
delivery_standards.estimated_combinations,التوليفات المقدرة:
delivery_standards.expected_days,الأيام المتوقعة
delivery_standards.generate_combinations,إنشاء التوليفات
delivery_standards.generate_delivery_standards,إنشاء معايير التسليم
delivery_standards.generation_complete,اكتمل الإنشاء
delivery_standards.hours,ساعات
delivery_standards.loading_standards,جاري تحميل معايير التسليم...
delivery_standards.no_products_for_this_carrier,لا توجد منتجات لهذا الناقل
delivery_standards.origin,المصدر
delivery_standards.origin_city,مدينة المنشأ *
delivery_standards.origin_classification,تصنيف المصدر
delivery_standards.pending_only,قيد الانتظار فقط
delivery_standards.product,المنتج *
delivery_standards.promise,الوعد
delivery_standards.relative,نسبي
delivery_standards.select_carrier,اختر الناقل
delivery_standards.select_destination,اختر الوجهة
delivery_standards.select_origin,اختر المنشأ
delivery_standards.select_product,اختر المنتج
delivery_standards.smart_generation,الإنشاء الذكي:
delivery_standards.standard_time,الوقت القياسي
delivery_standards.success,نسبة النجاح %
delivery_standards.success_percentage,٪ النجاح
delivery_standards.threshold_type,نوع العتبة
delivery_standards.time_unit,وحدة الوقت *
delivery_standards.title,معايير التسليم
delivery_standards.tolerance_days,أيام التسامح
delivery_standards.updated,تم تحديث معيار التسليم بنجاح
delivery_standards.warning_threshold,عتبة التحذير
deliverystandards.about_delivery_standards,حول معايير التسليم
deliverystandards.absoluto,مطلق:
deliverystandards.absoluto_del_100,مطلق (% من 100%)
deliverystandards.all_carriers,جميع الناقلين
deliverystandards.all_cities,جميع المدن
deliverystandards.all_products,جميع المنتجات
deliverystandards.all_types,جميع الأنواع
deliverystandards.carrier,الناقل
deliverystandards.carrier_s_product_service_type_e_g_express_standar,نوع منتج/خدمة الناقل (مثل: سريع، عادي، اقتصادي)
deliverystandards.city_where_the_package_is_delivered_destination_ci,المدينة التي يتم فيها تسليم الطرد (مدينة الوجهة)
deliverystandards.city_where_the_package_is_picked_up_origin_city,المدينة التي يتم فيها استلام الطرد (مدينة المنشأ)
deliverystandards.configured,مُكوَّن
deliverystandards.create_delivery_standard,إنشاء معيار التسليم
deliverystandards.critical,النسبة الحرجة
deliverystandards.critical_threshold,الحد الحرج (%)
deliverystandards.days,أيام
deliverystandards.delivery_standards,معايير التسليم
deliverystandards.destination,الوجهة
deliverystandards.destination_city,مدينة الوجهة
deliverystandards.destination_type,نوع الوجهة
deliverystandards.e_g_10,مثال: 10
deliverystandards.e_g_20,مثال: 20
deliverystandards.e_g_24,مثال: 24
deliverystandards.e_g_85,مثال: 85
deliverystandards.edit_delivery_standard,تعديل معيار التسليم
deliverystandards.edit_or_delete_this_delivery_standard,تحرير أو حذف معيار التسليم هذا
deliverystandards.ejemplo_success_95_warning_10_l_mite_90_100_10,مثال: النجاح=95٪، التحذير=10٪ → الحد=90٪ (100٪ - 10٪)
deliverystandards.ejemplo_success_95_warning_5_l_mite_90_25_95_95_5,مثال: النجاح=95٪، التحذير=5٪ → الحد=90.25٪ (95٪ - 95٪×5٪)
deliverystandards.filters,الفلاتر
deliverystandards.hours,الساعات
deliverystandards.j_k,J+K:
deliverystandards.key_metrics,المقاييس الرئيسية:
deliverystandards.loading_delivery_standards,جاري تحميل معايير التسليم...
deliverystandards.logistics_carrier_responsible_for_delivery_e_g_dhl,الناقل اللوجستي المسؤول عن التسليم (مثل DHL، FedEx)
deliverystandards.los_thresholds_se_calculan_como_del_100,يتم حساب العتبات كنسبة مئوية من 100٪.
